Date;Tx;Tavg;RH_avg;ff_x;ff_avg
27-05-2022;27,4;23,5;81;2;1
28-05-2022;29,1;25;73;3;1
29-05-2022;28;24,4;80;5;2
30-05-2022;28,8;25,2;75;5;3
31-05-2022;29,4;25,5;77;4;2
01-06-2022;26,1;23,6;90;4;1
02-06-2022;29,2;23,3;78;4;1
03-06-2022;28;23,7;79;3;1
04-06-2022;29,4;24,4;81;5;2
05-06-2022;28,3;22,8;87;3;1
06-06-2022;28,4;23,1;87;3;1
07-06-2022;29,4;24;80;4;2
08-06-2022;28,6;23,9;78;6;2
09-06-2022;28,5;24,1;74;6;2
10-06-2022;29,2;23,9;80;5;2
11-06-2022;29;24,4;82;6;2
12-06-2022;28,3;24;82;4;2
13-06-2022;28,6;23,7;82;5;1
14-06-2022;28,8;24,3;79;4;2
15-06-2022;29;24,5;77;8;3
16-06-2022;28,6;23,3;90;4;1
17-06-2022;28,4;23,1;85;3;1
18-06-2022;28,6;23,7;80;3;1
19-06-2022;28,8;23,4;84;5;2
20-06-2022;27,8;23,2;84;4;2
21-06-2022;28,6;23,5;78;3;1
22-06-2022;29,2;24;72;3;2
23-06-2022;29,2;23,5;79;4;2
24-06-2022;27,4;23,4;80;5;2
25-06-2022;28,4;23,4;79;4;1
26-06-2022;27,8;22,4;92;3;1
27-06-2022;25,6;22,8;85;6;2
28-06-2022;27;23,2;76;4;3
29-06-2022;28,6;23;63;3;1
30-06-2022;28,2;24,4;71;4;2
01-07-2022;28,2;23;80;5;2
02-07-2022;28,3;23,8;78;3;1
03-07-2022;29,2;25;77;6;3
04-07-2022;29;24,3;77;7;3
05-07-2022;29,8;25,2;76;4;1
06-07-2022;27,2;24;79;4;2
07-07-2022;28,1;23,2;72;4;2
08-07-2022;26,2;22,3;70;4;2
09-07-2022;28;22,5;71;3;2
10-07-2022;28,8;22,7;75;3;1
11-07-2022;27,6;23,8;77;4;1
12-07-2022;28,8;23,5;82;4;2
13-07-2022;29,2;24,2;77;5;2
14-07-2022;29;23,9;80;6;2
15-07-2022;28;24;82;4;2
16-07-2022;27,4;23,3;84;5;2
17-07-2022;27,2;23,9;77;3;1
18-07-2022;28,4;23,8;78;3;1
19-07-2022;29,2;24,2;74;3;2
20-07-2022;29,4;22,8;70;6;2
21-07-2022;28;23,3;78;6;2
22-07-2022;27,1;23,2;82;4;2
23-07-2022;27,8;23;82;5;2
24-07-2022;26,4;22,6;69;5;3
25-07-2022;26,5;20,1;70;4;2
26-07-2022;29,2;21,9;66;6;2
27-07-2022;30,4;24;77;6;2
28-07-2022;29,6;23,6;75;5;3
29-07-2022;28,8;22,9;73;5;2
30-07-2022;28,8;22,5;69;5;2
31-07-2022;28,8;22,8;67;4;2
01-08-2022;28,8;23;65;7;2
02-08-2022;28;24;84;3;1
03-08-2022;30,2;24,3;76;5;2
04-08-2022;27,9;23,4;68;7;3
05-08-2022;29;23,3;60;3;2
06-08-2022;28,6;23,9;62;3;2
07-08-2022;24,5;22,5;90;4;2
08-08-2022;26,8;23,2;82;4;2
09-08-2022;28,3;22,8;78;4;2
10-08-2022;29;23,9;81;4;2
11-08-2022;29,8;24,8;80;7;3
12-08-2022;29,2;24,9;76;7;4
13-08-2022;30,4;24,2;78;5;2
14-08-2022;28,8;24,6;81;5;2
15-08-2022;29,8;24,3;77;6;2
16-08-2022;29,8;24;79;4;2
17-08-2022;28,4;23,6;76;5;2
18-08-2022;28;23,4;80;3;2
;;;;;
